host,level,size_lower_bytes,size_upper_bytes,line_size,associativity,derived_sets,hit_latency_median,next_level_latency_median,incremental_difference,unit,sharing_scope,inclusion_exclusion,status
skylark,candidate residency transition 2,360448,393216,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,10.125,11.578125,1.453125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
skylark,candidate residency transition 3,524288,589824,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,13.6875,16.265625,2.578125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
skylark,candidate residency transition 4,1179648,1310720,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,22.03125,24.9375,2.90625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
skylark,candidate residency transition 5,8388608,9437184,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,32.578125,37.125,4.546875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
skylark,candidate residency transition 6,11534336,12582912,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,44.15625,51.515625,7.359375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
skylark,candidate residency transition 7,13631488,20971520,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,54.703125,120.65625,65.953125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
skylark,candidate residency transition 8,67108864,134217728,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,247.453125,283.265625,35.8125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
artemisia,candidate residency transition 1,49152,57344,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,5.3671875,7.1875,1.8203125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
artemisia,candidate residency transition 2,65536,114688,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,8.640625,12.0859375,3.4453125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
artemisia,candidate residency transition 3,524288,1048576,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,17.1875,20.2421875,3.0546875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
artemisia,candidate residency transition 4,1310720,1441792,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,20.90625,25.859375,4.953125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
artemisia,candidate residency transition 5,1703936,2097152,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,23.390625,28.0,4.609375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 1,32768,36864,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,4.71484375,6.72265625,2.0078125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 2,49152,53248,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,8.13671875,9.6484375,1.51171875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 3,65536,73728,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,9.5703125,11.32421875,1.75390625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 4,81920,90112,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,10.5703125,12.140625,1.5703125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 5,98304,106496,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,11.11328125,14.2109375,3.09765625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 6,122880,131072,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,11.66015625,13.37890625,1.71875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 7,262144,294912,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,13.4140625,27.9921875,14.578125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 8,327680,360448,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,22.5078125,27.83984375,5.33203125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 9,393216,425984,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,28.1953125,32.9375,4.7421875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 10,458752,491520,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,29.966796875,35.77734375,5.810546875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 11,524288,589824,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,32.25,39.2109375,6.9609375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 12,655360,720896,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,35.83203125,42.78515625,6.953125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 13,851968,917504,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,40.12109375,45.96875,5.84765625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 14,1048576,2097152,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,41.3671875,47.33203125,5.96484375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 15,2621440,2883584,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,49.28515625,58.15625,8.87109375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
charnwood,candidate residency transition 16,3932160,7340032,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,53.28125,144.33203125,91.05078125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
crux,candidate residency transition 1,32768,40960,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,2.79296875,4.056640625,1.263671875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
crux,candidate residency transition 2,114688,122880,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,6.771484375,8.037109375,1.265625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
crux,candidate residency transition 3,131072,147456,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,6.931640625,8.146484375,1.21484375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
crux,candidate residency transition 4,163840,180224,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,7.75,9.7890625,2.0390625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
crux,candidate residency transition 5,196608,212992,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,7.75,10.45703125,2.70703125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
crux,candidate residency transition 6,327680,360448,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,13.259765625,15.51953125,2.259765625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
crux,candidate residency transition 7,589824,655360,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,22.103515625,25.244140625,3.140625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
crux,candidate residency transition 8,5242880,7864320,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,34.67578125,92.587890625,57.912109375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
crux,candidate residency transition 9,8388608,10485760,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,99.705078125,132.689453125,32.984375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
ookay,candidate residency transition 1,32768,40960,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,3.7578125,5.44921875,1.69140625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
ookay,candidate residency transition 2,90112,98304,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,8.39453125,9.80859375,1.4140625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
ookay,candidate residency transition 3,106496,114688,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,8.75,10.97265625,2.22265625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
ookay,candidate residency transition 4,180224,196608,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,10.234375,11.79296875,1.55859375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
ookay,candidate residency transition 5,245760,262144,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,12.17578125,14.48046875,2.3046875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
ookay,candidate residency transition 6,294912,327680,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,15.53125,18.54296875,3.01171875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
ookay,candidate residency transition 7,360448,393216,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,19.578125,22.00390625,2.42578125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
ookay,candidate residency transition 8,4718592,7864320,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,46.56640625,134.25,87.68359375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
ookay,candidate residency transition 9,16777216,33554432,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,209.98046875,239.2890625,29.30859375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
upgrade,candidate residency transition 1,32768,40960,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,3.041015625,4.431640625,1.390625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
upgrade,candidate residency transition 2,90112,98304,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,6.91796875,7.80859375,0.890625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
upgrade,candidate residency transition 3,131072,147456,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,8.154296875,9.30859375,1.154296875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
upgrade,candidate residency transition 4,163840,180224,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,7.69921875,11.173828125,3.474609375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
upgrade,candidate residency transition 5,212992,229376,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,9.94140625,11.373046875,1.431640625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
upgrade,candidate residency transition 6,262144,294912,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,11.701171875,14.4609375,2.759765625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
upgrade,candidate residency transition 7,327680,360448,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,15.087890625,18.19140625,3.103515625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
upgrade,candidate residency transition 8,6815744,7864320,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,41.59375,68.107421875,26.513671875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
upgrade,candidate residency transition 9,8388608,13631488,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,62.505859375,140.59375,78.087890625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
