host,level,prior_capacity_interval_bytes,additional_capacity_departures,line_candidate_bytes,prior_ways_candidate,additional_conditional_ways,additional_conditional_sets_if_64B_line,derived_sets,hit_latency_median,hit_and_next_level_distributions,miss_penalty,unit,sharing_scope,inclusion_exclusion,limitation,additional_evidence
artemisia,L2-like candidate,"[2097152, 2359296]",[],,16,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model. Way/count geometry also assumes the tested smallest agreeing stride is fundamental and the odd upper scrub avoids target-lower-index conflicts.,data_processed/uncertainty/artemisia-inference.json
artemisia,LLC-like candidate,"[25165824, 27262976]",[],,,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/artemisia-inference.json
charnwood,L1-like candidate,"[32768, 36864]",[],64,8,,,64,4.55859375,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,data_processed/uncertainty/charnwood-inference.json
charnwood,L2-like candidate,"[262144, 294912]",[],,4,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model. Way/count geometry also assumes the tested smallest agreeing stride is fundamental and the odd upper scrub avoids target-lower-index conflicts.,data_processed/uncertainty/charnwood-inference.json
charnwood,LLC-like candidate,"[4194304, 8388608]",[],,,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/charnwood-inference.json
crux,L1-like candidate,"[32768, 36864]",[],64,8,,,64,2.705078125,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,data_processed/uncertainty/crux-inference.json
crux,L2-like candidate,"[262144, 294912]",[],,,4,1024,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/crux-inference.json
crux,LLC-like candidate,"[4194304, 16777216]",[],,,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/crux-inference.json
ookay,L1-like candidate,"[32768, 36864]",[],64,8,,,64,3.640625,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,data_processed/uncertainty/ookay-inference.json
ookay,L2-like candidate,"[262144, 294912]",[],,4,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model. Way/count geometry also assumes the tested smallest agreeing stride is fundamental and the odd upper scrub avoids target-lower-index conflicts.,data_processed/uncertainty/ookay-inference.json
ookay,LLC-like candidate,"[5242880, 5767168]",[],,,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/ookay-inference.json
upgrade,L1-like candidate,"[32768, 36864]",[],64,8,,,64,2.943359375,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,data_processed/uncertainty/upgrade-inference.json
upgrade,L2-like candidate,"[262144, 294912]",[],,4,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model. Way/count geometry also assumes the tested smallest agreeing stride is fundamental and the odd upper scrub avoids target-lower-index conflicts.,data_processed/uncertainty/upgrade-inference.json
upgrade,LLC-like candidate,"[2097152, 16777216]","[{""interval"": [8060928, 8519680], ""sources"": [""machines/upgrade/uncertainty-v1/capacity_repeat/17ff4338d6fc1c66/attempt-1788873283028410620/run.json"", ""machines/upgrade/uncertainty-v1/capacity_repeat/31bad0000f575dfa/attempt-1788873864253494632/run.json"", ""machines/upgrade/uncertainty-v1/capacity_repeat/47740480356b17b5/attempt-1788874479867490007/run.json"", ""machines/upgrade/uncertainty-v1/capacity_repeat/6b7ba3cfb0785da5/attempt-1788874878577334562/run.json"", ""machines/upgrade/uncertainty-v1/capacity_repeat/704213e5b19eb451/attempt-1788874915113409894/run.json"", ""machines/upgrade/uncertainty-v1/capacity_repeat/a309033ff006187f/attempt-1788873444635579596/run.json"", ""machines/upgrade/uncertainty-v1/capacity_repeat/ba99e5892ded23d8/attempt-1788873890103240937/run.json"", ""machines/upgrade/uncertainty-v1/capacity_repeat/e41ce15a523964d5/attempt-1788874445516746499/run.json""]}]",,,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/upgrade-inference.json
